updateCount,HibernateEntityStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateEntityStatistics.java,"<property name=""updateCount"" column=""updatecount"" type=""integer""",22,HibernateEntityStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateEntityStatistics.hbm.xml
insertCount,HibernateEntityStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateEntityStatistics.java,"<property name=""insertCount"" column=""insertcount"" type=""integer""",24,HibernateEntityStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateEntityStatistics.hbm.xml
filBezeichnung,Office.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Office.java,"<property name=""filBezeichnung"" type=""string"">",29,Office.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Office.hbm.xml
headerColor,MyCalendarEvent.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\MyCalendarEvent.java,"<property name=""headerColor"" type=""string"">",37,MyCalendarEvent.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\MyCalendarEvent.hbm.xml
collectionUpdateCount,HibernateStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateStatistics.java,"<property name=""collectionUpdateCount"" column=""collectionupdatecount""",34,HibernateStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateStatistics.hbm.xml
filNr,Office.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Office.java,"<property name=""filNr"" type=""string"">",26,Office.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Office.hbm.xml
loadCount,HibernateEntityStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateEntityStatistics.java,"<property name=""loadCount"" column=""loadcount"" type=""integer""",20,HibernateEntityStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateEntityStatistics.hbm.xml
aupPosition,Orderposition.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Orderposition.java,"<property name=""aupPosition"" type=""java.lang.Integer"">",35,Orderposition.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Orderposition.hbm.xml
collectionLoadCount,HibernateStatistics.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\HibernateStatistics.java,"<property name=""collectionLoadCount"" column=""collectionloadcount""",32,HibernateStatistics.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\HibernateStatistics.hbm.xml
filName2,Office.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Office.java,"<property name=""filName2"" type=""string"">",35,Office.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Office.hbm.xml
filName1,Office.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Office.java,"<property name=""filName1"" type=""string"">",32,Office.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Office.hbm.xml
i2cLongitude,Ip2Country.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\Ip2Country.java,"<property name=""i2cLongitude"" type=""float"">",44,Ip2Country.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\Ip2Country.hbm.xml
gridPagedListWrapper,HibernateStatisticsCtrl.java,zksample2\\zkoss\\src\\main\\java\\de\\forsthaus\\webui\\debug\\HibernateStatisticsCtrl.java,"<property name=""gridPagedListWrapper"" ref=""pagedGridWrapper"" />",255,applicationContext-guiControllers.xml,zksample2\zkoss\src\main\resources\applicationContext-guiControllers.xml
usrLocale,SecUser.java,zksample2\\spring-hibernate-backend\\src\\main\\java\\de\\forsthaus\\backend\\model\\SecUser.java,"<property name=""usrLocale"" type=""string"">",41,SecUser.hbm.xml,zksample2\spring-hibernate-backend\src\main\resources\de\forsthaus\backend\model\SecUser.hbm.xml
